N,Streamflow (Coxs),ST-63036,ST-63049,ST-63132,ST-63146,ST-63246,Streamflow (212260 - KOWMUNG),ST-63036(d-1),ST-63049(d-1),ST-63132(d-1),ST-63146(d-1),ST-63246(d-1),Streamflow (212260 – KOWMUNG)(d-1),ST-63036(d-2),ST-63049(d-2),ST-63132(d-2),ST-63146(d-2),ST-63246(d-2),Streamflow (212260 – KOWMUNG)(d-2)
44,0.00199324272896325,0,0.00689655172413793,0,0,0,0.00208799802187607,0.0258064516129032,0.0206896551724138,0.00813008130081301,0.0160919540229885,0.0205714285714286,0.00200102249907804,0.00967741935483871,0.028735632183908,0.002710027100271,0.0229885057471264,0.032,0.00221699761926462
45,0.00223138966315396,0,0,0,0,0,0.00234768858807631,0,0.00689655172413793,0,0,0,0.00208799802187607,0.0258064516129032,0.0206896551724138,0.00813008130081301,0.0160919540229885,0.0205714285714286,0.00200102249907804
46,0.00193709504645724,0,0,0,0,0,0.00271894461545727,0,0,0,0,0,0.00234768858807631,0,0.00689655172413793,0,0,0,0.00208799802187607
47,0.00168228327499305,0,0,0,0,0,0.00273663896265328,0,0,0,0,0,0.00271894461545727,0,0,0,0,0,0.00234768858807631
48,0.00150996244803255,0,0,0,0,0,0.00247031301625453,0,0,0,0,0,0.00273663896265328,0,0,0,0,0,0.00271894461545727
49,0.0014266062139012,0,0,0,0,0,0.00213145325690156,0,0,0,0,0,0.00247031301625453,0,0,0,0,0,0.00273663896265328
50,0.00139968609215174,0,0,0,0,0,0.00190552506641723,0,0,0,0,0,0.00213145325690156,0,0,0,0,0,0.00247031301625453
51,0.00130392737335725,0.0225806451612903,0.00919540229885057,0.010840108401084,0.0114942528735632,0.0114285714285714,0.00168733815283115,0,0,0,0,0,0.00190552506641723,0,0,0,0,0,0.00213145325690156
52,0.00134244878567016,0,0,0,0,0,0.00160777864319616,0.0225806451612903,0.00919540229885057,0.010840108401084,0.0114942528735632,0.0114285714285714,0.00168733815283115,0,0,0,0,0,0.00190552506641723
53,0.00147176151335951,0.00161290322580645,0,0,0,0,0.00161317802120082,0,0,0,0,0,0.00160777864319616,0.0225806451612903,0.00919540229885057,0.010840108401084,0.0114942528735632,0.0114285714285714,0.00168733815283115
54,0.00151291084231939,0,0,0,0,0,0.0015961992542223,0.00161290322580645,0,0,0,0,0.00161317802120082,0,0,0,0,0,0.00160777864319616
55,0.00144628354098949,0,0,0,0,0.00228571428571429,0.00154923117085642,0,0,0,0,0,0.0015961992542223,0.00161290322580645,0,0,0,0,0.00161317802120082
56,0.00140987728109975,0,0.0160919540229885,0,0,0.0342857142857143,0.00156588467409972,0,0,0,0,0.00228571428571429,0.00154923117085642,0,0,0,0,0,0.0015961992542223
57,0.00145727592403719,0,0,0,0,0,0.00157596784989157,0,0.0160919540229885,0,0,0.0342857142857143,0.00156588467409972,0,0,0,0,0.00228571428571429,0.00154923117085642
58,0.00150845620312514,0.0129032258064516,0.0114942528735632,0,0.0344827586206897,0.04,0.00169826701433457,0,0,0,0,0,0.00157596784989157,0,0.0160919540229885,0,0,0.0342857142857143,0.00156588467409972
59,0.00153627366226624,0,0,0,0,0,0.00166931854189992,0.0129032258064516,0.0114942528735632,0,0.0344827586206897,0.04,0.00169826701433457,0,0,0,0,0,0.00157596784989157
60,0.0014682042115569,0,0,0,0,0,0.00154766990492736,0,0,0,0,0,0.00166931854189992,0.0129032258064516,0.0114942528735632,0,0.0344827586206897,0.04,0.00169826701433457
61,0.00136779856698423,0,0,0,0,0,0.00140813176251766,0,0,0,0,0,0.00154766990492736,0,0,0,0,0,0.00166931854189992
62,0.00126281009216136,0.0145161290322581,0.00689655172413793,0,0,0.0114285714285714,0.00128960565740322,0,0,0,0,0,0.00140813176251766,0,0,0,0,0,0.00154766990492736
63,0.00130601047801644,0.00806451612903226,0.00229885057471264,0.127371273712737,0.032183908045977,0.32,0.00130756021558741,0.0145161290322581,0.00689655172413793,0,0,0.0114285714285714,0.00128960565740322,0,0,0,0,0,0.00140813176251766
64,0.00395341216549145,0.0725806451612903,0.0528735632183908,0.013550135501355,0.0275862068965517,0.0628571428571429,0.00170769966265597,0.00806451612903226,0.00229885057471264,0.127371273712737,0.032183908045977,0.32,0.00130756021558741,0.0145161290322581,0.00689655172413793,0,0,0.0114285714285714,0.00128960565740322
65,0.00400520135209516,0.156451612903226,0.252873563218391,0.116531165311653,0.163218390804598,0.208,0.00201793621330952,0.0725806451612903,0.0528735632183908,0.013550135501355,0.0275862068965517,0.0628571428571429,0.00170769966265597,0.00806451612903226,0.00229885057471264,0.127371273712737,0.032183908045977,0.32,0.00130756021558741
66,0.00614717775372415,0.4,0.613793103448276,0.447154471544715,0.471264367816092,0.24,0.00410847129232031,0.156451612903226,0.252873563218391,0.116531165311653,0.163218390804598,0.208,0.00201793621330952,0.0725806451612903,0.0528735632183908,0.013550135501355,0.0275862068965517,0.0628571428571429,0.00170769966265597
67,0.0429111868328557,0.0032258064516129,0.0275862068965517,0.016260162601626,0.0367816091954023,0.0102857142857143,0.0349429529692708,0.4,0.613793103448276,0.447154471544715,0.471264367816092,0.24,0.00410847129232031,0.156451612903226,0.252873563218391,0.116531165311653,0.163218390804598,0.208,0.00201793621330952
68,0.0275361438688221,0.230645161290323,0.632183908045977,0.222222222222222,0.56551724137931,0.100571428571429,0.0395689188643274,0.0032258064516129,0.0275862068965517,0.016260162601626,0.0367816091954023,0.0102857142857143,0.0349429529692708,0.4,0.613793103448276,0.447154471544715,0.471264367816092,0.24,0.00410847129232031
69,0.0430116565729563,0,0.0344827586206897,0.246612466124661,0.12183908045977,0.0777142857142857,0.0216631502404252,0.230645161290323,0.632183908045977,0.222222222222222,0.56551724137931,0.100571428571429,0.0395689188643274,0.0032258064516129,0.0275862068965517,0.016260162601626,0.0367816091954023,0.0102857142857143,0.0349429529692708
70,0.0496733932252629,0.12741935483871,0.0160919540229885,0.349593495934959,0.0367816091954023,0.0731428571428572,0.0204597394728555,0,0.0344827586206897,0.246612466124661,0.12183908045977,0.0777142857142857,0.0216631502404252,0.230645161290323,0.632183908045977,0.222222222222222,0.56551724137931,0.100571428571429,0.0395689188643274
71,0.0275520716075239,0.0161290322580645,0.0114942528735632,0.0514905149051491,0.0114942528735632,0.0331428571428571,0.0220971171159567,0.12741935483871,0.0160919540229885,0.349593495934959,0.0367816091954023,0.0731428571428572,0.0204597394728555,0,0.0344827586206897,0.246612466124661,0.12183908045977,0.0777142857142857,0.0216631502404252
72,0.0182370364791686,0.00645161290322581,0.0206896551724138,0.02710027100271,0.0390804597701149,0.0205714285714286,0.0164535961516356,0.0161290322580645,0.0114942528735632,0.0514905149051491,0.0114942528735632,0.0331428571428571,0.0220971171159567,0.12741935483871,0.0160919540229885,0.349593495934959,0.0367816091954023,0.0731428571428572,0.0204597394728555
73,0.0143549305885492,0,0,0,0,0,0.0129763316638847,0.00645161290322581,0.0206896551724138,0.02710027100271,0.0390804597701149,0.0205714285714286,0.0164535961516356,0.0161290322580645,0.0114942528735632,0.0514905149051491,0.0114942528735632,0.0331428571428571,0.0220971171159567
74,0.012154755447519,0,0,0.00542005420054201,0,0.0194285714285714,0.0108809176288456,0,0,0,0,0,0.0129763316638847,0.00645161290322581,0.0206896551724138,0.02710027100271,0.0390804597701149,0.0205714285714286,0.0164535961516356
75,0.011912217969662,0,0.0379310344827586,0.02710027100271,0.0298850574712644,0,0.0157331369781217,0,0,0.00542005420054201,0,0.0194285714285714,0.0108809176288456,0,0,0,0,0,0.0129763316638847
76,0.0118084152621066,0,0,0,0,0,0.0267056488748054,0,0.0379310344827586,0.02710027100271,0.0298850574712644,0,0.0157331369781217,0,0,0.00542005420054201,0,0.0194285714285714,0.0108809176288456
77,0.0156941745978206,0.169354838709677,0.17816091954023,0.105691056910569,0.137931034482759,0.0205714285714286,0.0192126783120191,0,0,0,0,0,0.0267056488748054,0,0.0379310344827586,0.02710027100271,0.0298850574712644,0,0.0157331369781217
78,0.055690585248254,0.201612903225806,0.358620689655172,0.276422764227642,0.28735632183908,0.195428571428571,0.0889018647434993,0.169354838709677,0.17816091954023,0.105691056910569,0.137931034482759,0.0205714285714286,0.0192126783120191,0,0,0,0,0,0.0267056488748054
79,0.182362961758204,0.167741935483871,0.32183908045977,0.211382113821138,0.229885057471264,0.24,0.249931418141429,0.201612903225806,0.358620689655172,0.276422764227642,0.28735632183908,0.195428571428571,0.0889018647434993,0.169354838709677,0.17816091954023,0.105691056910569,0.137931034482759,0.0205714285714286,0.0192126783120191
80,0.259116266884164,0.0725806451612903,0.195402298850575,0.10840108401084,0.202298850574713,0.274285714285714,0.286409030466218,0.167741935483871,0.32183908045977,0.211382113821138,0.229885057471264,0.24,0.249931418141429,0.201612903225806,0.358620689655172,0.276422764227642,0.28735632183908,0.195428571428571,0.0889018647434993
81,0.252500935394111,0.0354838709677419,0.0689655172413793,0.02710027100271,0.032183908045977,0.0388571428571429,0.247896242950152,0.0725806451612903,0.195402298850575,0.10840108401084,0.202298850574713,0.274285714285714,0.286409030466218,0.167741935483871,0.32183908045977,0.211382113821138,0.229885057471264,0.24,0.249931418141429
82,0.173334946404121,0,0,0,0,0.00114285714285714,0.202912593632858,0.0354838709677419,0.0689655172413793,0.02710027100271,0.032183908045977,0.0388571428571429,0.247896242950152,0.0725806451612903,0.195402298850575,0.10840108401084,0.202298850574713,0.274285714285714,0.286409030466218
83,0.120554554508039,0,0,0,0,0,0.137074269615404,0,0,0,0,0.00114285714285714,0.202912593632858,0.0354838709677419,0.0689655172413793,0.02710027100271,0.032183908045977,0.0388571428571429,0.247896242950152
84,0.0873973610268745,0,0,0,0,0,0.090721129867336,0,0,0,0,0,0.137074269615404,0,0,0,0,0.00114285714285714,0.202912593632858
85,0.0636357707527299,0,0,0,0,0,0.064909045525929,0,0,0,0,0,0.090721129867336,0,0,0,0,0,0.137074269615404
86,0.0485424276341459,0,0,0,0,0,0.0497092109680753,0,0,0,0,0,0.064909045525929,0,0,0,0,0,0.090721129867336
87,0.0379504173019468,0,0,0,0,0.00342857142857143,0.0386898610935198,0,0,0,0,0,0.0497092109680753,0,0,0,0,0,0.064909045525929
88,0.0310251518863714,0.0032258064516129,0,0,0,0,0.0320438122445013,0,0,0,0,0.00342857142857143,0.0386898610935198,0,0,0,0,0,0.0497092109680753
89,0.0262578867544188,0,0,0,0,0,0.0279391140115095,0.0032258064516129,0,0,0,0,0.0320438122445013,0,0,0,0,0.00342857142857143,0.0386898610935198
90,0.0229875726783198,0.0612903225806452,0.0827586206896552,0.140921409214092,0.103448275862069,0.0765714285714286,0.0258471477720638,0,0,0,0,0,0.0279391140115095,0.0032258064516129,0,0,0,0,0.0320438122445013
91,0.0224111615952415,0.0145161290322581,0.00689655172413793,0.00542005420054201,0.0114942528735632,0.00685714285714286,0.0255737961289842,0.0612903225806452,0.0827586206896552,0.140921409214092,0.103448275862069,0.0765714285714286,0.0258471477720638,0,0,0,0,0,0.0279391140115095
92,0.021930028514498,0.00161290322580645,0,0,0,0,0.0250028932209248,0.0145161290322581,0.00689655172413793,0.00542005420054201,0.0114942528735632,0.00685714285714286,0.0255737961289842,0.0612903225806452,0.0827586206896552,0.140921409214092,0.103448275862069,0.0765714285714286,0.0258471477720638
93,0.0218511910150889,0.233870967741935,0.245977011494253,0.246612466124661,0.181609195402299,0.04,0.0221580715399371,0.00161290322580645,0,0,0,0,0.0250028932209248,0.0145161290322581,0.00689655172413793,0.00542005420054201,0.0114942528735632,0.00685714285714286,0.0255737961289842
94,0.0344532050568167,0,0.0137931034482759,0.00542005420054201,0.0413793103448276,0.0182857142857143,0.0245546147410436,0.233870967741935,0.245977011494253,0.246612466124661,0.181609195402299,0.04,0.0221580715399371,0.00161290322580645,0,0,0,0,0.0250028932209248
95,0.0305863539018553,0.00645161290322581,0.0183908045977011,0,0.0390804597701149,0.0194285714285714,0.0257465111723865,0,0.0137931034482759,0.00542005420054201,0.0413793103448276,0.0182857142857143,0.0245546147410436,0.233870967741935,0.245977011494253,0.246612466124661,0.181609195402299,0.04,0.0221580715399371
96,0.0250435649291704,0,0,0,0,0.00685714285714286,0.0216870245985904,0.00645161290322581,0.0183908045977011,0,0.0390804597701149,0.0194285714285714,0.0257465111723865,0,0.0137931034482759,0.00542005420054201,0.0413793103448276,0.0182857142857143,0.0245546147410436
97,0.0213412469945206,0,0.0160919540229885,0,0.0206896551724138,0.0194285714285714,0.0189772524204663,0,0,0,0,0.00685714285714286,0.0216870245985904,0.00645161290322581,0.0183908045977011,0,0.0390804597701149,0.0194285714285714,0.0257465111723865
98,0.0194572550929906,0.00645161290322581,0,0,0,0,0.0171661839427572,0,0.0160919540229885,0,0.0206896551724138,0.0194285714285714,0.0189772524204663,0,0,0,0,0.00685714285714286,0.0216870245985904
99,0.0180347189451158,0,0,0,0,0,0.0159335644917647,0.00645161290322581,0,0,0,0,0.0171661839427572,0,0.0160919540229885,0,0.0206896551724138,0.0194285714285714,0.0189772524204663
